;time;value
0;2023-07-27T19:19:52.178668Z;9.3
1;2023-07-27T19:24:56.217837Z;9.4
2;2023-07-27T22:50:38.333857Z;0.0
3;2023-07-27T23:39:01.443056Z;0.0
4;2023-07-27T23:53:01.479403Z;0.0
5;2023-07-28T01:02:20.350265Z;0.0
6;2023-07-28T05:59:59.688872Z;0.1
7;2023-07-28T06:34:39.694366Z;0.2
8;2023-07-28T06:54:58.811426Z;0.3
9;2023-07-28T07:12:35.009167Z;0.4
10;2023-07-28T07:23:15.097707Z;0.5
11;2023-07-28T07:29:55.197949Z;0.6
12;2023-07-28T07:35:55.115089Z;0.7
13;2023-07-28T07:43:55.104347Z;0.8
14;2023-07-28T07:49:55.113689Z;0.9
15;2023-07-28T07:53:35.216286Z;1.0
16;2023-07-28T07:57:36.717442Z;1.1
17;2023-07-28T08:02:55.220992Z;1.2
18;2023-07-28T08:09:15.503302Z;1.3
19;2023-07-28T08:13:35.210219Z;1.4
20;2023-07-28T08:17:15.208257Z;1.5
21;2023-07-28T08:20:35.217198Z;1.6
22;2023-07-28T08:23:35.311557Z;1.7
23;2023-07-28T08:26:35.312730Z;1.8
24;2023-07-28T08:29:35.328898Z;1.9
25;2023-07-28T08:32:35.359069Z;2.0
26;2023-07-28T08:35:55.336750Z;2.1
27;2023-07-28T08:39:55.328760Z;2.2
28;2023-07-28T08:44:16.723840Z;2.3
29;2023-07-28T08:48:15.415966Z;2.4
30;2023-07-28T08:52:35.416981Z;2.5
31;2023-07-28T08:55:35.340759Z;2.6
32;2023-07-28T08:57:35.430097Z;2.7
33;2023-07-28T08:59:55.422696Z;2.8
34;2023-07-28T09:03:15.422334Z;2.9
35;2023-07-28T09:06:58.133065Z;3.0
36;2023-07-28T09:08:36.736950Z;3.1
37;2023-07-28T09:10:36.513833Z;3.2
38;2023-07-28T09:12:55.414708Z;3.3
39;2023-07-28T09:15:55.634849Z;3.4
40;2023-07-28T09:17:35.514473Z;3.5
41;2023-07-28T09:19:35.518735Z;3.6
42;2023-07-28T09:21:55.518900Z;3.7
43;2023-07-28T09:26:15.616508Z;3.8
44;2023-07-28T09:33:35.536159Z;3.9
45;2023-07-28T09:39:35.517808Z;4.0
46;2023-07-28T09:43:16.920838Z;4.1
47;2023-07-28T09:46:15.619385Z;4.2
48;2023-07-28T09:49:15.621183Z;4.3
49;2023-07-28T09:52:15.644938Z;4.4
50;2023-07-28T09:54:57.037323Z;4.5
