;time;value
0;2024-07-29T00:08:08.530350Z;0.0
1;2024-07-29T00:48:08.529554Z;0.0
2;2024-07-29T01:18:08.548285Z;0.0
3;2024-07-29T01:48:08.522938Z;0.0
4;2024-07-29T02:48:08.621637Z;0.0
5;2024-07-29T03:08:08.542047Z;0.3
6;2024-07-29T03:38:39.917186Z;0.1
7;2024-07-29T03:48:08.560356Z;0.3
8;2024-07-29T04:08:08.546396Z;1.6
9;2024-07-29T04:48:08.519784Z;1.6
10;2024-07-29T04:57:20.172463Z;0.2
11;2024-07-29T05:04:40.150531Z;0.3
12;2024-07-29T05:08:08.529886Z;2.3
13;2024-07-29T05:08:40.133981Z;0.4
14;2024-07-29T05:12:20.150570Z;0.5
15;2024-07-29T05:16:00.160581Z;0.6
16;2024-07-29T05:19:20.131351Z;0.7
17;2024-07-29T05:22:20.129897Z;0.8
18;2024-07-29T05:25:40.251629Z;0.9
19;2024-07-29T05:28:40.130006Z;1.0
20;2024-07-29T05:31:20.232623Z;1.1
21;2024-07-29T05:34:20.148444Z;1.2
22;2024-07-29T05:37:00.232272Z;1.3
23;2024-07-29T05:39:40.248034Z;1.4
24;2024-07-29T05:42:20.239233Z;1.5
25;2024-07-29T05:45:00.234330Z;1.6
26;2024-07-29T05:47:21.033371Z;1.7
27;2024-07-29T05:50:00.245197Z;1.8
28;2024-07-29T05:52:20.239819Z;1.9
29;2024-07-29T05:54:40.241355Z;2.0
30;2024-07-29T05:57:20.238049Z;2.1
31;2024-07-29T05:58:08.572291Z;2.2
32;2024-07-29T05:59:40.254880Z;2.2
33;2024-07-29T06:01:40.256225Z;2.3
34;2024-07-29T06:04:00.337722Z;2.4
35;2024-07-29T06:06:20.337531Z;2.5
36;2024-07-29T06:08:08.563469Z;2.8
37;2024-07-29T06:08:40.351166Z;2.6
38;2024-07-29T06:11:00.340076Z;2.7
39;2024-07-29T06:13:00.364081Z;2.8
40;2024-07-29T06:15:20.362225Z;2.9
41;2024-07-29T06:17:20.267333Z;3.0
42;2024-07-29T06:19:40.343098Z;3.1
43;2024-07-29T06:21:40.364908Z;3.2
44;2024-07-29T06:23:40.340711Z;3.3
45;2024-07-29T06:26:00.342997Z;3.4
46;2024-07-29T06:28:00.341749Z;3.5
47;2024-07-29T06:30:00.348140Z;3.6
48;2024-07-29T06:32:00.366493Z;3.7
49;2024-07-29T06:34:20.356699Z;3.8
50;2024-07-29T06:36:21.246236Z;3.9
51;2024-07-29T06:38:20.445621Z;4.0
52;2024-07-29T06:40:20.445778Z;4.1
53;2024-07-29T06:42:20.455163Z;4.2
54;2024-07-29T06:44:20.449204Z;4.3
55;2024-07-29T06:46:00.445771Z;4.4
56;2024-07-29T06:48:00.449915Z;4.5
57;2024-07-29T06:50:00.447257Z;4.6
58;2024-07-29T06:52:00.455255Z;4.7
59;2024-07-29T06:54:00.461611Z;4.8
60;2024-07-29T06:56:00.459133Z;4.9
61;2024-07-29T06:57:40.448612Z;5.0
62;2024-07-29T06:58:08.526544Z;2.8
63;2024-07-29T06:59:40.465557Z;5.1
64;2024-07-29T07:01:40.462510Z;5.2
65;2024-07-29T07:03:40.449902Z;5.3
66;2024-07-29T07:05:20.450273Z;5.4
67;2024-07-29T07:07:20.568917Z;5.5
68;2024-07-29T07:09:20.573015Z;5.6
69;2024-07-29T07:11:00.570029Z;5.7
70;2024-07-29T07:13:00.552401Z;5.8
71;2024-07-29T07:15:00.570928Z;5.9
72;2024-07-29T07:16:40.559236Z;6.0
73;2024-07-29T07:18:40.560955Z;6.1
74;2024-07-29T07:20:20.555916Z;6.2
75;2024-07-29T07:22:20.563954Z;6.3
76;2024-07-29T07:24:00.555176Z;6.4
77;2024-07-29T07:26:00.563129Z;6.5
78;2024-07-29T07:27:40.576449Z;6.6
79;2024-07-29T07:29:40.574047Z;6.7
80;2024-07-29T07:31:20.557353Z;6.8
81;2024-07-29T07:33:20.578553Z;6.9
82;2024-07-29T07:35:00.557814Z;7.0
83;2024-07-29T07:37:00.558007Z;7.1
84;2024-07-29T07:38:40.558180Z;7.2
85;2024-07-29T07:40:20.674056Z;7.3
86;2024-07-29T07:42:20.565711Z;7.4
87;2024-07-29T07:44:00.580703Z;7.5
88;2024-07-29T07:46:00.571819Z;7.6
89;2024-07-29T07:47:40.676907Z;7.7
90;2024-07-29T07:49:20.562117Z;7.8
91;2024-07-29T07:51:20.679941Z;7.9
92;2024-07-29T07:53:00.672193Z;8.0
93;2024-07-29T07:54:40.662941Z;8.1
